"Worldbirds Location","Worldbirds Location ID","Worldbirds Latitude","Worldbirds Longitude","Worldbirds Region/State","eBird Location","eBird Region Code","eBird Country Code","eBird Latitude","eBird Longitude"
"ETAR de Porto de Lobos, Peniche",1576,"39.348166666667","-9.3363333333333","Portugal (mainland)","Atoguia da Baleia--ETAR","PT-10","PT","39.3480835","-9.3364048"
"Évora - Canaviais",1825,38.6151666667,-7.9005,,,,"PT",,
"Falésia, Albufeira (Faro)",27096,37.087,-8.1683333333,,,,"PT",,
"Farilhão Grande",27551,39.4785,-9.5451666667,,,,"PT",,
"Faro - Ludo - Área nº 2",1697,37.0316,-7.9948,,,,"PT",,
"Faro - Ludo - Área nº 4",1699,37.0193333333,-8.0026666667,,,,"PT",,
"FD56_C (Açores)",26299,39.4213133529,-31.2457875335,,,,"PT",,
"FD56_E (Açores)",26285,39.4573391145,-31.2448833714,,,,"PT",,
"FD56_G (Açores)",26307,39.4029479678,-31.2230207821,,,,"PT",,
"FD56_J (Açores)",26286,39.4569860268,-31.2216472225,,,,"PT",,
"FD56_L (Açores)",26308,39.4025909231,-31.1998029679,,,,"PT",,
"FD56_M (Açores)",26301,39.4206034424,-31.1993395564,,,,"PT",,
"FD56_P (Açores)",26287,39.4566282995,-31.198411485,,,,"PT",,
"FD56_Q (Açores)",26315,39.3842168983,-31.1770545286,,,,"PT",,
"FD57_A (Açores)",26278,39.4753519049,-31.2444306814,,,,"PT",,
"FD57_G (Açores)",26273,39.4930110974,-31.2207294596,,,,"PT",,
"FD57_K (Açores)",26280,39.4746406373,-31.1979468244,,,,"PT",,
"FD57_M (Açores)",26268,39.5106651311,-31.197016251,,,,"PT",,
"FD57_R (Açores)",26275,39.4921666667,-31.1741666667,,,,"PT",,
"FD57_V (Açores)",26282,39.4739108003,-31.1514646361,,,,"PT",,
"FD69_B (Açores)",25825,39.6716629007,-31.1228867384,,,,"PT",,
"FD69_C (Açores)",25822,39.6896738058,-31.1223988966,,,,"PT",,
"FD69_D (Açores)",25819,39.7076846498,-31.1219106163,,,,"PT",,
"FD69_G (Açores)",25826,39.6712837343,-31.0995805435,,,,"PT",,
"FD69_H (Açores)",25823,39.6892943984,-31.0990866535,,,,"PT",,
"FD69_I (Açores)",25820,39.7073050012,-31.0985923195,,,,"PT",,
"Ferreira do Alentejo",27399,38.115,-8.3041666667,,,,"PT",,
"Ferreira do Zêzere - Carril",265,39.7515,-8.3125,,,,"PT",,
"Figueira e Barros",27415,39.0455,-7.7618333333,,,,"PT",,
"Figueiró da Serra, Gouveia",27446,40.544721,-7.489602,,,,"PT",,
"Folsas",27297,40.5451666667,-8.6733333333,,,,"PT",,
"Fornelos - Caniçada",27283,41.6805,-8.1445,,,,"PT",,
"Foros Salvaterra de Magos",1897,39.0265,-8.7413333333,,,,"PT",,
"Fortios 01",27553,39.3336666667,-7.4945,,,,"PT",,
"Foz do Almargem",27566,"37.060666666667","-8.0811666666667",,"Foz do Almargem","PT-08","PT","37.0611093","-8.0817801"
"Foz do Côa, Vila Nova de Foz Côa",1745,41.0725,-7.1101666667,,,,"PT",,
"Foz do Rio Trancão - Parque Tejo",27113,"38.796666666667","-9.0903333333333","Portugal (mainland)","Estuário do Tejo--Foz do Trancão","PT-11","PT","38.7962394","-9.0906286"
"Foz do Sizandro, Silveira",391,"39.102","-9.4008333333333","Portugal (mainland)","Foz do Sizandro","PT-11","PT","39.1034512","-9.3991846"
"Freixo",27515,39.7071666667,-7.8881666667,,,,"PT",,
"Freixo da Serra, Gouveia",27455,40.52927,-7.503517,,,,"PT",,
"Fronhas (barragem), Arganil",27421,40.246446,-8.165014,,,,"PT",,
"Funchal - Jardim do Amparo",27598,32.643,-16.9458333333,,,,"PT",,
"Funchal pelagico",27560,32.5675,-16.8993333333,,,,"PT",,
"Funchal pelagico",27559,32.5675,-16.8993333333,,,,"PT",,
"Funchal, Parque Santa Catarina",27320,32.6451666667,-16.914,,,,"PT",,
"Gâmbia, Setúbal",27086,38.53689,-8.781509,,,,"PT",,
"Gavieira, Arcos de Valdevez",27514,41.969617,-8.223393,,,,"PT",,
"Gouveia (centro)",27409,40.49283,-7.593417,,,,"PT",,
"Guia-Boca do Inferno, Cascais",266,"38.695333333333","-9.4413333333333",,"PN Sintra-Cascais--Boca do Inferno","PT-11","PT","38.6905847","-9.4297184"
"Herdade da Abegoaria, Mourão",27324,38.3523333333,-7.288,,,,"PT",,
"Herdade do Esporão",135,38.37886389,-7.560141667,,,,"PT",,
"Hortas/Ribeira das Enguias",145,"38.75441111","-8.924480556","Portugal (mainland)","Estuário do Tejo--Ribeira das Enguias","PT-15","PT","38.7478581","-8.9222717"
"Ilha da Morraceira",2025,"40.134333333333","-8.8275","Portugal (mainland)","IBA Estuário do Mondego--Ilha da Murraceira","PT-06","PT","40.1322973","-8.8281155"
"ilha das murraceiras",27292,"40.137333333333","-8.8338333333333","Portugal (mainland)","IBA Estuário do Mondego--Ilha da Murraceira","PT-06","PT","40.1322973","-8.8281155"
"Ilha do Corvo",1834,39.6956666667,-31.1076666667,,,,"PT",,
"Jamor - Cruz Quebrada",27389,"38.707333333333","-9.2545",,"Complexo Desportivo Nacional do Jamor","PT-11","PT","38.704301","-9.2553314"
"Jamor - Cruz Quebrada",27391,38.7073333333,"-9.2545",,,,"PT",,
"Jardim Botânico, Universidade de Lisboa",27215,"38.717666666667","-9.1513333333333","Portugal (mainland)","Jardim Botânico da Universidade de Lisboa","PT-11","PT","38.7183026","-9.1488148"
"Jardim Calouste Gulbenkian, Lisboa",325,"38.736333333333","-9.1536666666667","Portugal (mainland)","Jardins da Fundação Calouste Gulbenkian","PT-11","PT","38.7372396","-9.1533645"
"Jardim do Cabeço das Rolas, Lisboa",1605,"38.760312","-9.098246","Portugal (mainland)","Jardim do Cabeço das Rolas","PT-11","PT","38.7603838","-9.0982827"
"Jardim Palácio Nacional de Belém e Jardim Botânico Tropica",1799,38.69746,-9.2009,,,,"PT",,
"Jardim Urbano da Costa da Caparica",27183,38.649313,-9.239008,,,,"PT",,
"Jardins do Hotel do Caramulo",27461,40.57,-8.1731666667,,,,"PT",,
"Jardins Palácio Nacional Queluz, Queluz",1781,38.755991,-9.260745,,,,"PT",,
"José Heitor",27594,39.7071666667,-7.8881666667,,,,"PT",,
"Juizo",27274,40.8776666667,-7.1403333333,,,,"PT",,
"Juncal do Campo, Castelo Branco",1795,39.919743,-7.56958,,,,"PT",,
"Lagarinhos, Gouveia",27424,40.488036,-7.669617,,,,"PT",,
"Lagoa azul - Sintra",1583,38.7686666667,-9.397,,,,"PT",,
"Lagoa Azul, São Miguel",332,"37.865666666667","-25.783166666667",,"Lagoa Azul","PT-20","PT","37.8604888","-25.7848263"
"Lagoa Branca",27540,38.6855,-28.2128333333,,,,"PT",,
"Lagoa da Salgueira",27393,40.2966666667,-8.7838333333,,,,"PT",,
"Lagoa da Vela",27392,40.267,-8.7913333333,,,,"PT",,
"Lagoa das Furnas, SMi, Açores",160,"37.75416111","-25.33586944",,"Lagoa das Furnas","PT-20","PT","37.7559078","-25.3308204"
"Lagoa de Albufeira",1535,"38.5105","-9.1786666666667",,"Lagoa de Albufeira--Lagoa da Estacada, IBA Lagoa Pequena e Lagoa Grande","PT-15","PT","38.5166083","-9.1671896"
"Lagoa de Albufeira - Lagoa pequena",1534,"38.523666666667","-9.143","Portugal (mainland)","Lagoa de Albufeira--IBA Lagoa Pequena","PT-15","PT","38.5184892","-9.162941"
"Lagoa de Albufeira (Lagoas Grande, Pequena e Estacada)",273,"38.526166666667","-9.1411666666667",,"Lagoa de Albufeira--Lagoa da Estacada, IBA Lagoa Pequena e Lagoa Grande","PT-15","PT","38.5166083","-9.1671896"
"Lagoa de Melides",329,38.1323333333,-8.7865,,,,"PT",,
"Lagoa de Mira",27228,40.4416666667,-8.7553333333,,,,"PT",,
"Lagoa de Óbidos",1575,"39.388666666667","-9.2218333333333",,"Lagoa de Óbidos","PT-10","PT","39.4045003","-9.206672"
"Lagoa de Óbidos, lado sul",1625,"39.396666666667","-9.2138333333333",,"Lagoa de Óbidos","PT-10","PT","39.4045003","-9.206672"
"Lagoa de Santo André",202,38.094,-8.7841666667,,,,"PT",,
"Lagoa dos Patos",136,"38.16163056","-8.06145",,"Lagoa dos Patos","PT-02","PT","38.161096","-8.0620122"
"Lagoa dos Patos",228,38.1588333333,-8.0678333333,,,,"PT",,
"Lagoa dos Salgados",156,"37.09583611","-8.330897222","Portugal (mainland)","IBA Lagoa dos Salgados","PT-08","PT","37.09469","-8.3313704"
"Lagoa dos Salgados IBA",45,"38.51666667","-9.15","Portugal (mainland)","IBA Lagoa dos Salgados","PT-08","PT","37.09469","-8.3313704"
